Entity--|--XP--|--Type--|--Bone --|--Amount--|--Flesh--|--Amount--|--Skull 1--|--Amount--|--Skull  2--|--Amount--|--Rare Drop 1--|--Amount--|--Rare Drop 2--|--Amount--|--Common Drop 1--|--Amount--|--Common Drop 2--|--Amount--|--Common Drop 3--|--Amount
minecraft:elder_guardian--|--50--|--hostile--|----|--0--|----|--0--|----|--0--|----|--0--|--<minecraft:sponge:1>--|--5--|----|--0--|--<minecraft:prismarine_crystals>--|--1--|--<minecraft:prismarine_shard>--|--1--|----|--0
minecraft:wither_skeleton--|--20--|--hostile--|--<zcontent:wither_bone>--|--2--|----|--0--|--<minecraft:skull:1>--|--5--|----|--0--|----|--0--|----|--0--|--<quark:black_ash>--|--1--|--<darkutils:material>--|--1--|----|--0
minecraft:stray--|--20--|--hostile--|--<minecraft:bone>--|--2--|----|--0--|--<minecraft:skull>--|--5--|----|--0--|----|--0--|----|--0--|--<minecraft:arrow>--|--1--|----|--0--|----|--0
minecraft:skeleton--|--20--|--hostile--|--<minecraft:bone>--|--2--|----|--0--|--<minecraft:skull>--|--5--|----|--0--|----|--0--|----|--0--|--<minecraft:arrow>--|--1--|----|--0--|----|--0
quark:ashen--|--20--|--hostile--|--<minecraft:bone>--|--2--|----|--0--|--<minecraft:skull>--|--5--|----|--0--|----|--0--|----|--0--|--<minecraft:arrow>--|--1--|----|--0--|----|--0
minecraft:husk--|--20--|--hostile--|--<zcontent:animal_bones>--|--1--|--<minecraft:rotten_flesh>--|--1--|--<minecraft:skull:2>--|--5--|----|--0--|--<minecraft:iron_ingot>--|--5--|----|--0--|----|--0--|----|--0--|----|--0
minecraft:zombie_villager--|--20--|--hostile--|--<zcontent:animal_bones>--|--1--|--<minecraft:rotten_flesh>--|--1--|--<minecraft:skull:2>--|--5--|----|--0--|--<minecraft:iron_ingot>--|--5--|----|--0--|----|--0--|----|--0--|----|--0
minecraft:zombie--|--20--|--hostile--|--<zcontent:animal_bones>--|--1--|--<minecraft:rotten_flesh>--|--1--|--<minecraft:skull:2>--|--5--|----|--0--|--<minecraft:iron_ingot>--|--5--|----|--0--|----|--0--|----|--0--|----|--0
quark:dweller--|--20--|--hostile--|--<zcontent:animal_bones>--|--1--|--<minecraft:rotten_flesh>--|--1--|--<minecraft:skull:2>--|--5--|----|--0--|--<minecraft:iron_ingot>--|--5--|----|--0--|----|--0--|----|--0--|----|--0
minecraft:skeleton_horse--|--20--|--hostile--|--<minecraft:bone>--|--2--|----|--0--|----|--0--|----|--0--|----|--0--|----|--0--|----|--0--|----|--0--|----|--0
